Abies,Firs
Section Abies,Mediterranean firs
alba,Silver fir
borisii-regis,King Boris fir
bornmuelleriana,Turkish fir
bornmuelleriana ssp. equi-trojani,Trojan fir
bornmuelleriana ssp. olcayana,Chataldag fir
cephalonica,Greek fir
cilicica,Cilician fir
cilicica ssp. isaurica,Isaurian fir
nebrodensis,Sicilian fir
nordmanniana,Nordmann fir
numidica,Algerian fir
pinsapo,Spanish fir
pinsapo ssp. marocana,Moroccan fir
pinsapo ssp. marocana var. tazaotana,Tazaot mountain fir
Section Amabilis,Silver firs
amabilis,Pacific silver fir
mariesii,Maries' fir
Section Balsamea,Balsam firs
balsamea,Balsam fir
balsamea var. phanerolepis,Canaan fir
fraseri,Fraser fir
koreana,Korean fir
lasiocarpa,Subalpine fir
nephrolepis,Manchurian fir
sachalinensis,Sakhalin fir
sibirica,Siberian fir
veitchii,Veitch's fir
(koreana x lasiocarpa) (aka koreocarpa; lasicor),Koreocarpa fir
Section Bracteata,Bristlecone fir
bracteata,Bristlecone fir
Section Grandis,Grand firs
concolor,White fir
durangensis,Durango fir
flinckii,Jalisco fir
grandis,Grand fir
guatemalensis,Guatemalan fir
hickelii,Oaxacan fir
religiosa,Sacred fir
vejarii,Vejar's fir
Section Nobilis,Noble firs
magnifica,California red fir
procera,Noble fir
x shastensis (magnifica x procera),Shasta fir
Section Pseudopicea,Blue-Coned firs
beshanzuensis,Baishan fir
x chengii (salouenensis x forrestii),Cheng's fir
chensiana,River fir
delavayi,Delavay's fir
densa,Bhutan fir
ernestii,Wilson's fir
fabri,Faber's fir
fanjingshanensis,Fanjingshan fir
fargesii,Farges fir
fargesii var. faxoniana,Faxon's fir
firma,Momi fir
forrestii,Forrest's fir
georgei,Rusty fir
holophylla,Needle fir
homolepis,Nikko fir
nukiangensis,Nukiang fir
pindrow,West Himalayan fir
recurvata,Min fir
salouenensis,Salween fir
spectabilis,East Himalayan fir
squamata,Flaky fir
yuanbaoshanensis,Yuanbaoshan fir
ziyuanensis,Zhihuan fir