species-name,common-name,family-name,genus-name,infrageneric-level-I
abies,Norway spruce,Pinaceae,Picea,
× albertiana,,Pinaceae,Picea,
alcoquiana,Alcock spruce,Pinaceae,Picea,
alcoquiana var. acicularis,,Pinaceae,Picea,
alcoquiana var. reflexa,,Pinaceae,Picea,
asperata,Dragon spruce,Pinaceae,Picea,
asperata var. notabilis,,Pinaceae,Picea,
asperata var. ponderosa,,Pinaceae,Picea,
aurantiaca,Orange spruce,Pinaceae,Picea,
brachytyla,Sargent spruce,Pinaceae,Picea,
brachytyla var. complanata,,Pinaceae,Picea,
chihuahuana,Chihuahua spruce,Pinaceae,Picea,
crassifolia,Qinghai spruce,Pinaceae,Picea,
engelmannii,Engelmann spruce,Pinaceae,Picea,
engelmannii ssp. mexicana,Mexican spruce,Pinaceae,Picea,
farreri,Burmese spruce,Pinaceae,Picea,
× fennica,,Pinaceae,Picea,
glauca,White spruce,Pinaceae,Picea,
glauca var. densata,Black Hills spruce,Pinaceae,Picea,
glehnii,Sakhalin spruce,Pinaceae,Picea,
jezoensis,Yezo spruce,Pinaceae,Picea,
jezoensis ssp. jezoensis var. komarovii,Yellow Yezo spruce,Pinaceae,Picea,
jezoensis ssp. hondoensis,Hondo spruce,Pinaceae,Picea,
koraiensis,Korean spruce,Pinaceae,Picea,
koyamae,Koyama spruce,Pinaceae,Picea,
likiangensis,Lijiang spruce,Pinaceae,Picea,
likiangensis var. hirtella,,Pinaceae,Picea,
likiangensis var. linzhiensis,,Pinaceae,Picea,
likiangensis var. rubescens,,Pinaceae,Picea,
× lutzii,Lutz's spruce,Pinaceae,Picea,
mariana,Black spruce,Pinaceae,Picea,
martinezii,Nuevo León spruce,Pinaceae,Picea,
maximowiczii,Japanese bush spruce,Pinaceae,Picea,
meyeri,Meyer spruce,Pinaceae,Picea,
morrisonicola,Taiwan spruce,Pinaceae,Picea,
neoveitchii,Hubei spruce,Pinaceae,Picea,
obovata,Siberian spruce,Pinaceae,Picea,
omorika,Serbian spruce,Pinaceae,Picea,
orientalis,Oriental spruce,Pinaceae,Picea,
pungens,Colorado blue spruce,Pinaceae,Picea,
purpurea,Purplecone spruce,Pinaceae,Picea,
retroflexa,Tapaoshan spruce,Pinaceae,Picea,
rubens,Red spruce,Pinaceae,Picea,
schrenkiana,Snowridge spruce,Pinaceae,Picea,
schrenkiana ssp. tianschanica,Tianshan spruce,Pinaceae,Picea,
sikangensis,,Pinaceae,Picea,
sitchensis,Sitka spruce,Pinaceae,Picea,
smithiana,Morinda spruce,Pinaceae,Picea,
spinulosa,Sikkim spruce,Pinaceae,Picea,
torano,Tigertail spruce,Pinaceae,Picea,
wilsonii,Wilson's spruce,Pinaceae,Picea,